split,n_total,METARNN_cov,REVEL_cov,BAYESDEL_AF_cov,BAYESDEL_NOAF_cov,CLINPRED_cov,AlphaMissense_cov,VEST4_cov,EVE_cov,MUTPRED_cov,PROVEAN_cov,PRIMATEAI_cov,ESM1B_cov,MVP_cov,METALR_cov,METASVM_cov,DEOGEN2_cov,POLYPHEN2_cov,SIFT_cov,CADD_cov,ESM2-zero_cov
val_db,2835,0.97989417989418,0.96331569664903,0.97989417989418,0.97989417989418,0.97989417989418,0.9770723104056436,0.9788359788359788,0.6687830687830688,0.7005291005291006,0.9410934744268078,0.9746031746031746,0.9576719576719576,0.9753086419753086,0.979188712522046,0.979188712522046,0.9664902998236332,0.92663139329806,0.9347442680776014,0.9947089947089948,1.0
val_time,1885,0.8106100795755968,0.7755968169761274,0.9851458885941644,0.9851458885941644,0.8159151193633952,0.8042440318302387,0.9782493368700266,0.4583554376657825,0.3289124668435013,0.7538461538461538,0.8010610079575596,0.7888594164456233,0.673209549071618,0.810079575596817,0.810079575596817,0.7883289124668436,0.7352785145888594,0.7458885941644562,,1.0
val_gene,1004,0.5747011952191236,0.5747011952191236,0.9870517928286852,0.9870517928286852,0.6215139442231076,0.5747011952191236,0.9870517928286852,0.3605577689243028,0.3834661354581673,0.5089641434262948,0.5627490039840638,0.5727091633466136,0.5348605577689243,0.5747011952191236,0.5747011952191236,0.5537848605577689,0.5647410358565738,0.4561752988047808,,1.0
